sample_index,ground_truth,dataset_split,attribute,attribute_data,{Vi},{Ve},{Se},{Vi ∪ Ve},{Vi ∪ Se},{Ve ∪ Se},{Vi ∪ Ve ∪ Se}
8,Versicolor,train,SL,4.4,0.0,0.5238,0.0,0.4739,0.0,0.0,0.0023
8,Versicolor,train,SW,2.9,0.0,0.6508,0.0,0.296,0.0,0.0,0.0533
8,Versicolor,train,PL,1.4,0.5055,0.0,0.0,0.4945,0.0,0.0,0.0
8,Versicolor,train,PW,0.2,0.0,0.8859,0.0,0.1141,0.0,0.0,0.0
9,Virginica,train,SL,4.9,0.0,0.6293,0.0,0.3585,0.0,0.0,0.0122
9,Virginica,train,SW,3.1,0.4448,0.0,0.0,0.3378,0.0,0.0,0.2175
9,Virginica,train,PL,1.5,0.5055,0.0,0.0,0.4945,0.0,0.0,0.0
9,Virginica,train,PW,0.1,0.8748,0.0,0.0,0.1252,0.0,0.0,0.0
10,Virginica,train,SL,5.4,0.0,0.6862,0.0,0.2623,0.0,0.0,0.0515
10,Virginica,train,SW,3.7,0.4448,0.0,0.0,0.3378,0.0,0.0,0.2175
10,Virginica,train,PL,1.5,0.7233,0.0,0.0,0.2767,0.0,0.0,0.0
10,Virginica,train,PW,0.2,0.8748,0.0,0.0,0.1252,0.0,0.0,0.0
11,Versicolor,train,SL,4.8,0.0,0.5936,0.0,0.0,0.0,0.266,0.1404
11,Versicolor,train,SW,3.4,0.0,0.5376,0.0,0.3709,0.0,0.0,0.0915
11,Versicolor,train,PL,1.6,0.0,0.9489,0.0,0.0511,0.0,0.0,0.0
11,Versicolor,train,PW,0.2,0.0,0.9856,0.0,0.0144,0.0,0.0,0.0
12,Setosa,train,SL,4.8,0.0,0.0,0.515,0.0,0.0,0.409,0.0761
12,Setosa,train,SW,3.0,0.0,0.0,0.9411,0.0,0.0539,0.0,0.0051
12,Setosa,train,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,Setosa,train,PW,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,Versicolor,train,SL,4.3,0.0,0.0,0.8942,0.0,0.0,0.0933,0.0126
13,Versicolor,train,SW,3.0,0.0,0.6991,0.0,0.2593,0.0,0.0,0.0416
13,Versicolor,train,PL,1.1,0.0,0.9973,0.0,0.0027,0.0,0.0,0.0
13,Versicolor,train,PW,0.1,0.0,0.9989,0.0,0.0011,0.0,0.0,0.0
14,Virginica,train,SL,5.8,0.9927,0.0,0.0,0.0073,0.0,0.0,0.0
14,Virginica,train,SW,4.0,0.0,0.5968,0.0,0.3338,0.0,0.0,0.0693
14,Virginica,train,PL,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Virginica,train,PW,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Virginica,train,SL,5.7,0.8413,0.0,0.0,0.1587,0.0,0.0,0.0
15,Virginica,train,SW,4.4,0.4427,0.0,0.0,0.0,0.2877,0.0,0.2695
15,Virginica,train,PL,1.5,0.7233,0.0,0.0,0.2767,0.0,0.0,0.0
15,Virginica,train,PW,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Setosa,train,SL,5.4,0.0,0.0,0.7296,0.0,0.0,0.234,0.0365
16,Setosa,train,SW,3.9,0.0,0.0,0.9803,0.0,0.0186,0.0,0.0011
16,Setosa,train,PL,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
16,Setosa,train,PW,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
17,Versicolor,train,SL,5.1,0.0,0.6544,0.0,0.1788,0.0,0.0,0.1668
17,Versicolor,train,SW,3.5,0.4305,0.0,0.0,0.4067,0.0,0.0,0.1629
17,Versicolor,train,PL,1.4,0.0,0.9489,0.0,0.0511,0.0,0.0,0.0
17,Versicolor,train,PW,0.3,0.0,0.9856,0.0,0.0144,0.0,0.0,0.0
18,Versicolor,train,SL,5.7,0.0,0.5238,0.0,0.4739,0.0,0.0,0.0023
18,Versicolor,train,SW,3.8,0.0,0.0,0.4737,0.0,0.3792,0.0,0.1471
18,Versicolor,train,PL,1.7,0.0,0.7055,0.0,0.2945,0.0,0.0,0.0
18,Versicolor,train,PW,0.3,0.0,0.6931,0.0,0.3069,0.0,0.0,0.0
19,Setosa,train,SL,5.1,0.0,0.0,0.7296,0.0,0.0,0.234,0.0365
19,Setosa,train,SW,3.8,0.0,0.0,0.58,0.0,0.321,0.0,0.099
19,Setosa,train,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
19,Setosa,train,PW,0.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20,Virginica,train,SL,5.4,0.6046,0.0,0.0,0.395,0.0,0.0,0.0004
20,Virginica,train,SW,3.4,0.4448,0.0,0.0,0.3378,0.0,0.0,0.2175
20,Virginica,train,PL,1.7,0.99,0.0,0.0,0.01,0.0,0.0,0.0
20,Virginica,train,PW,0.2,0.9998,0.0,0.0,0.0002,0.0,0.0,0.0
21,Setosa,train,SL,5.1,0.0,0.0,0.9513,0.0,0.0,0.0429,0.0058
21,Setosa,train,SW,3.7,0.0,0.0,0.7752,0.0,0.1884,0.0,0.0364
21,Setosa,train,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,Setosa,train,PW,0.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,Setosa,train,SL,4.6,0.0,0.0,0.7296,0.0,0.0,0.234,0.0365
22,Setosa,train,SW,3.6,0.0,0.0,0.6836,0.0,0.2543,0.0,0.0621
22,Setosa,train,PL,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,Virginica,train,SL,5.1,0.734,0.0,0.0,0.266,0.0,0.0,0.0
23,Virginica,train,SW,3.3,0.4427,0.0,0.0,0.0,0.2877,0.0,0.2695
23,Virginica,train,PL,1.7,0.9707,0.0,0.0,0.0293,0.0,0.0,0.0
23,Virginica,train,PW,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Virginica,train,SL,4.8,0.7914,0.0,0.0,0.2086,0.0,0.0,0.0
24,Virginica,train,SW,3.4,0.4448,0.0,0.0,0.3378,0.0,0.0,0.2175
24,Virginica,train,PL,1.9,0.9512,0.0,0.0,0.0488,0.0,0.0,0.0
24,Virginica,train,PW,0.2,0.9989,0.0,0.0,0.0011,0.0,0.0,0.0
25,Versicolor,train,SL,5.0,0.0,0.0,0.8033,0.0,0.0,0.1716,0.0251
25,Versicolor,train,SW,3.0,0.0,0.6508,0.0,0.296,0.0,0.0,0.0533
25,Versicolor,train,PL,1.6,0.0,0.9988,0.0,0.0012,0.0,0.0,0.0
25,Versicolor,train,PW,0.2,0.0,0.9976,0.0,0.0024,0.0,0.0,0.0
26,Versicolor,train,SL,5.0,0.0,0.5936,0.0,0.0,0.0,0.266,0.1404
26,Versicolor,train,SW,3.4,0.0,0.6508,0.0,0.296,0.0,0.0,0.0533
26,Versicolor,train,PL,1.6,0.0,0.9823,0.0,0.0177,0.0,0.0,0.0
26,Versicolor,train,PW,0.4,0.0,0.9976,0.0,0.0024,0.0,0.0,0.0
27,Setosa,train,SL,5.2,0.0,0.0,0.8566,0.0,0.0,0.1259,0.0175
27,Setosa,train,SW,3.5,0.0,0.0,0.58,0.0,0.321,0.0,0.099
27,Setosa,train,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
27,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28,Virginica,train,SL,5.2,0.0,0.6844,0.0,0.2194,0.0,0.0,0.0961
28,Virginica,train,SW,3.4,0.0,0.4738,0.0,0.4044,0.0,0.0,0.1218
28,Virginica,train,PL,1.4,0.7233,0.0,0.0,0.2767,0.0,0.0,0.0
28,Virginica,train,PW,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Virginica,train,SL,4.7,0.9408,0.0,0.0,0.0592,0.0,0.0,0.0
29,Virginica,train,SW,3.2,0.421,0.0,0.0,0.0,0.3741,0.0,0.2049
29,Virginica,train,PL,1.6,0.9968,0.0,0.0,0.0032,0.0,0.0,0.0
29,Virginica,train,PW,0.2,0.8748,0.0,0.0,0.1252,0.0,0.0,0.0
30,Versicolor,train,SL,4.8,0.0,0.6659,0.0,0.3083,0.0,0.0,0.0258
30,Versicolor,train,SW,3.1,0.0,0.5376,0.0,0.3709,0.0,0.0,0.0915
30,Versicolor,train,PL,1.6,0.7233,0.0,0.0,0.2767,0.0,0.0,0.0
30,Versicolor,train,PW,0.2,0.0,0.6931,0.0,0.3069,0.0,0.0,0.0
31,Versicolor,train,SL,5.4,0.0,0.6293,0.0,0.3585,0.0,0.0,0.0122
31,Versicolor,train,SW,3.4,0.4448,0.0,0.0,0.3378,0.0,0.0,0.2175
31,Versicolor,train,PL,1.5,0.0,0.7866,0.0,0.2134,0.0,0.0,0.0
31,Versicolor,train,PW,0.4,0.0,0.9604,0.0,0.0396,0.0,0.0,0.0
32,Setosa,train,SL,5.2,0.0,0.0,0.515,0.0,0.0,0.409,0.0761
32,Setosa,train,SW,4.1,0.0,0.0,0.58,0.0,0.321,0.0,0.099
32,Setosa,train,PL,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32,Setosa,train,PW,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33,Virginica,train,SL,5.5,0.6046,0.0,0.0,0.395,0.0,0.0,0.0004
33,Virginica,train,SW,4.2,0.421,0.0,0.0,0.0,0.3741,0.0,0.2049
33,Virginica,train,PL,1.4,0.7233,0.0,0.0,0.2767,0.0,0.0,0.0
33,Virginica,train,PW,0.2,0.9939,0.0,0.0,0.0061,0.0,0.0,0.0
34,Virginica,train,SL,4.9,0.0,0.5808,0.0,0.4137,0.0,0.0,0.0055
34,Virginica,train,SW,3.1,0.0,0.4738,0.0,0.4044,0.0,0.0,0.1218
34,Virginica,train,PL,1.5,0.0,0.6061,0.0,0.3939,0.0,0.0,0.0
34,Virginica,train,PW,0.2,0.8748,0.0,0.0,0.1252,0.0,0.0,0.0
35,Versicolor,train,SL,5.0,0.0,0.5073,0.0,0.0,0.0,0.3871,0.1056
35,Versicolor,train,SW,3.2,0.0,0.6508,0.0,0.296,0.0,0.0,0.0533
35,Versicolor,train,PL,1.2,0.0,0.975,0.0,0.025,0.0,0.0,0.0
35,Versicolor,train,PW,0.2,0.0,0.9856,0.0,0.0144,0.0,0.0,0.0
36,Virginica,train,SL,5.5,0.9927,0.0,0.0,0.0073,0.0,0.0,0.0
36,Virginica,train,SW,3.5,0.0,0.4738,0.0,0.4044,0.0,0.0,0.1218
36,Virginica,train,PL,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Virginica,train,PW,0.2,0.9939,0.0,0.0,0.0061,0.0,0.0,0.0
37,Versicolor,train,SL,4.9,0.0,0.6544,0.0,0.1788,0.0,0.0,0.1668
37,Versicolor,train,SW,3.6,0.0,0.5968,0.0,0.3338,0.0,0.0,0.0693
37,Versicolor,train,PL,1.4,0.0,0.9952,0.0,0.0048,0.0,0.0,0.0
37,Versicolor,train,PW,0.1,0.0,0.9989,0.0,0.0011,0.0,0.0,0.0
38,Virginica,train,SL,4.4,0.5381,0.0,0.0,0.4609,0.0,0.0,0.0009
38,Virginica,train,SW,3.0,0.0,0.4738,0.0,0.4044,0.0,0.0,0.1218
38,Virginica,train,PL,1.3,0.9707,0.0,0.0,0.0293,0.0,0.0,0.0
38,Virginica,train,PW,0.2,0.9998,0.0,0.0,0.0002,0.0,0.0,0.0
39,Versicolor,train,SL,5.1,0.0,0.6659,0.0,0.3083,0.0,0.0,0.0258
39,Versicolor,train,SW,3.4,0.4305,0.0,0.0,0.4067,0.0,0.0,0.1629
39,Versicolor,train,PL,1.5,0.0,0.8488,0.0,0.1512,0.0,0.0,0.0
39,Versicolor,train,PW,0.2,0.0,0.8859,0.0,0.1141,0.0,0.0,0.0
40,Versicolor,train,SL,5.0,0.0,0.5238,0.0,0.4739,0.0,0.0,0.0023
40,Versicolor,train,SW,3.5,0.0,0.7419,0.0,0.225,0.0,0.0,0.0331
40,Versicolor,train,PL,1.3,0.0,0.8942,0.0,0.1058,0.0,0.0,0.0
40,Versicolor,train,PW,0.3,0.0,0.9856,0.0,0.0144,0.0,0.0,0.0
41,Versicolor,train,SL,4.5,0.0,0.6293,0.0,0.3585,0.0,0.0,0.0122
41,Versicolor,train,SW,2.3,0.0,0.4738,0.0,0.4044,0.0,0.0,0.1218
41,Versicolor,train,PL,1.3,0.0,0.7055,0.0,0.2945,0.0,0.0,0.0
41,Versicolor,train,PW,0.3,0.0,0.9944,0.0,0.0056,0.0,0.0,0.0
42,Setosa,train,SL,4.4,0.0,0.0,0.8566,0.0,0.0,0.1259,0.0175
42,Setosa,train,SW,3.2,0.0,0.0,0.7752,0.0,0.1884,0.0,0.0364
42,Setosa,train,PL,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,Setosa,train,SL,5.0,0.0,0.0,0.8033,0.0,0.0,0.1716,0.0251
43,Setosa,train,SW,3.5,0.0,0.0,0.4737,0.0,0.3792,0.0,0.1471
43,Setosa,train,PL,1.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,Setosa,train,PW,0.6,0.0,0.0,0.9983,0.0,0.0,0.0017,0.0
44,Versicolor,train,SL,5.1,0.0,0.6659,0.0,0.3083,0.0,0.0,0.0258
44,Versicolor,train,SW,3.8,0.0,0.7793,0.0,0.1938,0.0,0.0,0.0269
44,Versicolor,train,PL,1.9,0.0,0.975,0.0,0.025,0.0,0.0,0.0
44,Versicolor,train,PW,0.4,0.0,0.9989,0.0,0.0011,0.0,0.0,0.0
45,Versicolor,train,SL,4.8,0.6709,0.0,0.0,0.329,0.0,0.0,0.0001
45,Versicolor,train,SW,3.0,0.4448,0.0,0.0,0.3378,0.0,0.0,0.2175
45,Versicolor,train,PL,1.4,0.0,0.8942,0.0,0.1058,0.0,0.0,0.0
45,Versicolor,train,PW,0.3,0.0,0.9604,0.0,0.0396,0.0,0.0,0.0
46,Virginica,train,SL,5.1,0.5381,0.0,0.0,0.4609,0.0,0.0,0.0009
46,Virginica,train,SW,3.8,0.421,0.0,0.0,0.0,0.3741,0.0,0.2049
46,Virginica,train,PL,1.6,0.8748,0.0,0.0,0.1252,0.0,0.0,0.0
46,Virginica,train,PW,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Virginica,train,SL,4.6,0.8413,0.0,0.0,0.1587,0.0,0.0,0.0
47,Virginica,train,SW,3.2,0.421,0.0,0.0,0.0,0.3741,0.0,0.2049
47,Virginica,train,PL,1.4,0.9827,0.0,0.0,0.0173,0.0,0.0,0.0
47,Virginica,train,PW,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Versicolor,train,SL,5.3,0.0,0.0,0.7296,0.0,0.0,0.234,0.0365
48,Versicolor,train,SW,3.7,0.0,0.5376,0.0,0.3709,0.0,0.0,0.0915
48,Versicolor,train,PL,1.5,0.0,0.9823,0.0,0.0177,0.0,0.0,0.0
48,Versicolor,train,PW,0.2,0.0,0.9604,0.0,0.0396,0.0,0.0,0.0
49,Setosa,train,SL,5.0,0.0,0.0,0.515,0.0,0.0,0.409,0.0761
49,Setosa,train,SW,3.3,0.0,0.0,0.9411,0.0,0.0539,0.0,0.0051
49,Setosa,train,PL,1.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
49,Setosa,train,PW,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50,Virginica,train,SL,7.0,0.0,0.5238,0.0,0.4739,0.0,0.0,0.0023
50,Virginica,train,SW,3.2,0.0,0.6508,0.0,0.296,0.0,0.0,0.0533
50,Virginica,train,PL,4.7,0.6192,0.0,0.0,0.3808,0.0,0.0,0.0
50,Virginica,train,PW,1.4,0.9697,0.0,0.0,0.0303,0.0,0.0,0.0
51,Virginica,train,SL,6.4,0.9156,0.0,0.0,0.0844,0.0,0.0,0.0
51,Virginica,train,SW,3.2,0.4448,0.0,0.0,0.3378,0.0,0.0,0.2175
51,Virginica,train,PL,4.5,0.9943,0.0,0.0,0.0057,0.0,0.0,0.0
51,Virginica,train,PW,1.5,0.9989,0.0,0.0,0.0011,0.0,0.0,0.0
52,Setosa,train,SL,6.9,0.0,0.0,0.9666,0.0,0.0,0.0292,0.0042
52,Setosa,train,SW,3.1,0.4305,0.0,0.0,0.4067,0.0,0.0,0.1629
52,Setosa,train,PL,4.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52,Setosa,train,PW,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
53,Setosa,train,SL,5.5,0.0,0.0,0.515,0.0,0.0,0.409,0.0761
53,Setosa,train,SW,2.3,0.0,0.0,0.849,0.0,0.1311,0.0,0.02
53,Setosa,train,PL,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
53,Setosa,train,PW,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54,Versicolor,train,SL,6.5,0.5381,0.0,0.0,0.4609,0.0,0.0,0.0009
54,Versicolor,train,SW,2.8,0.4305,0.0,0.0,0.4067,0.0,0.0,0.1629
54,Versicolor,train,PL,4.6,0.0,0.9265,0.0,0.0735,0.0,0.0,0.0
54,Versicolor,train,PW,1.5,0.0,0.9856,0.0,0.0144,0.0,0.0,0.0
55,Versicolor,train,SL,5.7,0.0,0.6544,0.0,0.1788,0.0,0.0,0.1668
55,Versicolor,train,SW,2.8,0.4448,0.0,0.0,0.3378,0.0,0.0,0.2175
55,Versicolor,train,PL,4.5,0.0,0.9489,0.0,0.0511,0.0,0.0,0.0
55,Versicolor,train,PW,1.3,0.0,0.9944,0.0,0.0056,0.0,0.0,0.0
56,Setosa,train,SL,6.3,0.0,0.0,0.9709,0.0,0.0,0.0252,0.0039
56,Setosa,train,SW,3.3,0.4448,0.0,0.0,0.3378,0.0,0.0,0.2175
56,Setosa,train,PL,4.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0
56,Setosa,train,PW,1.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0
57,Setosa,train,SL,4.9,0.0,0.0,0.9203,0.0,0.0,0.0704,0.0093
57,Setosa,train,SW,2.4,0.0,0.0,0.58,0.0,0.321,0.0,0.099
57,Setosa,train,PL,3.3,0.0,0.0,0.9998,0.0,0.0,0.0002,0.0
57,Setosa,train,PW,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
58,Versicolor,train,SL,6.6,0.0,0.5808,0.0,0.4137,0.0,0.0,0.0055
58,Versicolor,train,SW,2.9,0.4305,0.0,0.0,0.4067,0.0,0.0,0.1629
58,Versicolor,train,PL,4.6,0.0,0.9265,0.0,0.0735,0.0,0.0,0.0
58,Versicolor,train,PW,1.3,0.0,0.9856,0.0,0.0144,0.0,0.0,0.0
59,Virginica,train,SL,5.2,0.9927,0.0,0.0,0.0073,0.0,0.0,0.0
59,Virginica,train,SW,2.7,0.4448,0.0,0.0,0.3378,0.0,0.0,0.2175
59,Virginica,train,PL,3.9,0.9982,0.0,0.0,0.0018,0.0,0.0,0.0
59,Virginica,train,PW,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Setosa,train,SL,5.0,0.0,0.5073,0.0,0.0,0.0,0.3871,0.1056
60,Setosa,train,SW,2.0,0.0,0.0,0.9892,0.0,0.0103,0.0,0.0005
60,Setosa,train,PL,3.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
60,Setosa,train,PW,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
61,Setosa,train,SL,5.9,0.0,0.6544,0.0,0.1788,0.0,0.0,0.1668
61,Setosa,train,SW,3.0,0.0,0.0,0.997,0.0,0.0029,0.0,0.0001
61,Setosa,train,PL,4.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
61,Setosa,train,PW,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62,Versicolor,train,SL,6.0,0.0,0.6862,0.0,0.2623,0.0,0.0,0.0515
62,Versicolor,train,SW,2.2,0.4448,0.0,0.0,0.3378,0.0,0.0,0.2175
62,Versicolor,train,PL,4.0,0.0,0.9489,0.0,0.0511,0.0,0.0,0.0
62,Versicolor,train,PW,1.0,0.0,0.8859,0.0,0.1141,0.0,0.0,0.0
63,Versicolor,train,SL,6.1,0.734,0.0,0.0,0.266,0.0,0.0,0.0
63,Versicolor,train,SW,2.9,0.4448,0.0,0.0,0.3378,0.0,0.0,0.2175
63,Versicolor,train,PL,4.7,0.6192,0.0,0.0,0.3808,0.0,0.0,0.0
63,Versicolor,train,PW,1.4,0.6263,0.0,0.0,0.3737,0.0,0.0,0.0
64,Virginica,train,SL,5.6,0.9885,0.0,0.0,0.0115,0.0,0.0,0.0
64,Virginica,train,SW,2.9,0.4448,0.0,0.0,0.3378,0.0,0.0,0.2175
64,Virginica,train,PL,3.6,0.9999,0.0,0.0,0.0001,0.0,0.0,0.0
64,Virginica,train,PW,1.3,0.9989,0.0,0.0,0.0011,0.0,0.0,0.0
65,Versicolor,train,SL,6.7,0.0,0.5936,0.0,0.0,0.0,0.266,0.1404
65,Versicolor,train,SW,3.1,0.4448,0.0,0.0,0.3378,0.0,0.0,0.2175
65,Versicolor,train,PL,4.4,0.0,0.8488,0.0,0.1512,0.0,0.0,0.0
65,Versicolor,train,PW,1.4,0.0,0.8859,0.0,0.1141,0.0,0.0,0.0
66,Virginica,train,SL,5.6,0.0,0.6659,0.0,0.3083,0.0,0.0,0.0258
66,Virginica,train,SW,3.0,0.0,0.7793,0.0,0.1938,0.0,0.0,0.0269
66,Virginica,train,PL,4.5,0.6192,0.0,0.0,0.3808,0.0,0.0,0.0
66,Virginica,train,PW,1.5,0.0,0.8859,0.0,0.1141,0.0,0.0,0.0
67,Setosa,train,SL,5.8,0.0,0.0,0.9203,0.0,0.0,0.0704,0.0093
67,Setosa,train,SW,2.7,0.4448,0.0,0.0,0.3378,0.0,0.0,0.2175
67,Setosa,train,PL,4.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
67,Setosa,train,PW,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
68,Setosa,train,SL,6.2,0.0,0.0,0.9603,0.0,0.0,0.0349,0.0048
68,Setosa,train,SW,2.2,0.0,0.7419,0.0,0.225,0.0,0.0,0.0331
68,Setosa,train,PL,4.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
68,Setosa,train,PW,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
69,Virginica,train,SL,5.6,0.5381,0.0,0.0,0.4609,0.0,0.0,0.0009
69,Virginica,train,SW,2.5,0.4427,0.0,0.0,0.0,0.2877,0.0,0.2695
69,Virginica,train,PL,3.9,0.9512,0.0,0.0,0.0488,0.0,0.0,0.0
69,Virginica,train,PW,1.1,0.8748,0.0,0.0,0.1252,0.0,0.0,0.0
70,Versicolor,train,SL,5.9,0.5381,0.0,0.0,0.4609,0.0,0.0,0.0009
70,Versicolor,train,SW,3.2,0.421,0.0,0.0,0.0,0.3741,0.0,0.2049
70,Versicolor,train,PL,4.8,0.0,0.8488,0.0,0.1512,0.0,0.0,0.0
70,Versicolor,train,PW,1.8,0.0,0.8859,0.0,0.1141,0.0,0.0,0.0
71,Versicolor,train,SL,6.1,0.0,0.6293,0.0,0.3585,0.0,0.0,0.0122
71,Versicolor,train,SW,2.8,0.4305,0.0,0.0,0.4067,0.0,0.0,0.1629
71,Versicolor,train,PL,4.0,0.0,0.7055,0.0,0.2945,0.0,0.0,0.0
71,Versicolor,train,PW,1.3,0.0,0.9604,0.0,0.0396,0.0,0.0,0.0
72,Setosa,train,SL,6.3,0.0,0.0,0.9203,0.0,0.0,0.0704,0.0093
72,Setosa,train,SW,2.5,0.0,0.0,0.58,0.0,0.321,0.0,0.099
72,Setosa,train,PL,4.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0
72,Setosa,train,PW,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
73,Setosa,train,SL,6.1,0.0,0.0,0.9513,0.0,0.0,0.0429,0.0058
73,Setosa,train,SW,2.8,0.0,0.0,0.58,0.0,0.321,0.0,0.099
73,Setosa,train,PL,4.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0
73,Setosa,train,PW,1.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
74,Virginica,train,SL,6.4,0.5381,0.0,0.0,0.4609,0.0,0.0,0.0009
74,Virginica,train,SW,2.9,0.0,0.5376,0.0,0.3709,0.0,0.0,0.0915
74,Virginica,train,PL,4.3,0.8748,0.0,0.0,0.1252,0.0,0.0,0.0
