sample_index,ground_truth,dataset_split,fold,attribute,attribute_data,{C1},{C2},{C3},{C1 ∪ C2},{C1 ∪ C3},{C2 ∪ C3},{C1 ∪ C2 ∪ C3}
2,Class 1,unknown,1,ProAn,1.28,0.0,0.0,0.5279,0.0,0.0,0.3056,0.1665
2,Class 1,unknown,1,Color,4.38,0.4495,0.0,0.0,0.371,0.0,0.0,0.1795
2,Class 1,unknown,1,Hue,1.05,0.627,0.0,0.0,0.369,0.0,0.0,0.004
2,Class 1,unknown,1,OD,3.4,0.7026,0.0,0.0,0.2974,0.0,0.0,0.0
2,Class 1,unknown,1,Proline,1050.0,0.9937,0.0,0.0,0.0042,0.0,0.0,0.0021
3,Class 1,unknown,3,Alc,13.16,0.0,0.0,0.5846,0.0,0.2776,0.0,0.1378
3,Class 1,unknown,3,Mal,2.36,0.8289,0.0,0.0,0.1609,0.0,0.0,0.0102
3,Class 1,unknown,3,Ash,2.67,0.404,0.0,0.0,0.0,0.3996,0.0,0.1964
3,Class 1,unknown,3,AlkAsh,18.6,0.4024,0.0,0.0,0.3324,0.0,0.0,0.2652
3,Class 1,unknown,3,Mg,101.0,0.0,0.0,0.3967,0.0,0.3645,0.0,0.2388
3,Class 1,unknown,3,TotPhen,2.8,0.7145,0.0,0.0,0.274,0.0,0.0,0.0115
3,Class 1,unknown,3,Flav,3.24,0.8493,0.0,0.0,0.1507,0.0,0.0,0.0
3,Class 1,unknown,3,Nonflav,0.3,0.5708,0.0,0.0,0.2843,0.0,0.0,0.1449
3,Class 1,unknown,3,ProAn,2.81,0.5853,0.0,0.0,0.409,0.0,0.0,0.0057
3,Class 1,unknown,3,Color,5.68,0.6891,0.0,0.0,0.0,0.2912,0.0,0.0197
3,Class 1,unknown,3,Hue,1.03,0.5812,0.0,0.0,0.4107,0.0,0.0,0.0081
3,Class 1,unknown,3,OD,3.17,0.644,0.0,0.0,0.356,0.0,0.0,0.0
3,Class 1,unknown,3,Proline,1185.0,0.9994,0.0,0.0,0.0006,0.0,0.0,0.0
4,Class 1,unknown,0,Alc,14.37,0.7813,0.0,0.0,0.0,0.2151,0.0,0.0036
4,Class 1,unknown,0,Mal,1.95,0.9168,0.0,0.0,0.0781,0.0,0.0,0.0051
4,Class 1,unknown,0,Ash,2.5,0.0,0.0,0.4368,0.0,0.3548,0.0,0.2084
4,Class 1,unknown,0,AlkAsh,16.8,0.6472,0.0,0.0,0.2793,0.0,0.0,0.0735
4,Class 1,unknown,0,Mg,113.0,0.5102,0.0,0.0,0.0,0.274,0.0,0.2158
4,Class 1,unknown,0,TotPhen,3.85,0.0,0.4084,0.0,0.0,0.0,0.3654,0.2262
4,Class 1,unknown,0,Flav,3.49,0.7303,0.0,0.0,0.2686,0.0,0.0,0.0011
4,Class 1,unknown,0,Nonflav,0.24,0.604,0.0,0.0,0.2909,0.0,0.0,0.1051
4,Class 1,unknown,0,ProAn,2.18,0.5866,0.0,0.0,0.2968,0.0,0.0,0.1166
4,Class 1,unknown,0,Color,7.8,0.0,0.0,0.8181,0.0,0.1819,0.0,0.0
4,Class 1,unknown,0,Hue,0.86,0.0,0.4253,0.0,0.0,0.0,0.3202,0.2545
4,Class 1,unknown,0,OD,3.45,0.6941,0.0,0.0,0.3059,0.0,0.0,0.0
4,Class 1,unknown,0,Proline,1480.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Class 1,unknown,1,Alc,13.24,0.0,0.0,0.587,0.0,0.3166,0.0,0.0964
5,Class 1,unknown,1,Mal,2.59,0.0,0.8128,0.0,0.0,0.0,0.1872,0.0
5,Class 1,unknown,1,Ash,2.87,0.5159,0.0,0.0,0.2878,0.0,0.0,0.1963
5,Class 1,unknown,1,AlkAsh,21.0,0.0,0.0,0.5554,0.0,0.0,0.3195,0.1251
5,Class 1,unknown,1,Mg,118.0,0.4938,0.0,0.0,0.0,0.2555,0.0,0.2507
5,Class 1,unknown,1,TotPhen,2.8,0.7364,0.0,0.0,0.262,0.0,0.0,0.0016
5,Class 1,unknown,1,Flav,2.69,0.668,0.0,0.0,0.332,0.0,0.0,0.0
5,Class 1,unknown,1,Nonflav,0.39,0.0,0.3997,0.0,0.0,0.0,0.3732,0.2271
5,Class 1,unknown,1,ProAn,1.82,0.6783,0.0,0.0,0.2926,0.0,0.0,0.0291
5,Class 1,unknown,1,Color,4.32,0.4277,0.0,0.0,0.3995,0.0,0.0,0.1728
5,Class 1,unknown,1,Hue,1.04,0.6242,0.0,0.0,0.3705,0.0,0.0,0.0053
5,Class 1,unknown,1,OD,2.93,0.5461,0.0,0.0,0.4538,0.0,0.0,0.0001
5,Class 1,unknown,1,Proline,735.0,0.0,0.0,0.6156,0.0,0.0,0.2656,0.1188
6,Class 1,unknown,0,Alc,14.2,0.7604,0.0,0.0,0.0,0.234,0.0,0.0056
6,Class 1,unknown,0,Mal,1.76,0.9306,0.0,0.0,0.0652,0.0,0.0,0.0042
6,Class 1,unknown,0,Ash,2.45,0.0,0.0,0.4381,0.0,0.3426,0.0,0.2193
6,Class 1,unknown,0,AlkAsh,15.2,0.7623,0.0,0.0,0.2196,0.0,0.0,0.0181
6,Class 1,unknown,0,Mg,112.0,0.4988,0.0,0.0,0.0,0.285,0.0,0.2162
6,Class 1,unknown,0,TotPhen,3.27,0.7066,0.0,0.0,0.0,0.1725,0.0,0.1209
6,Class 1,unknown,0,Flav,3.39,0.7646,0.0,0.0,0.2343,0.0,0.0,0.0011
6,Class 1,unknown,0,Nonflav,0.34,0.4472,0.0,0.0,0.3286,0.0,0.0,0.2242
6,Class 1,unknown,0,ProAn,1.97,0.6347,0.0,0.0,0.2399,0.0,0.0,0.1254
6,Class 1,unknown,0,Color,6.75,0.5193,0.0,0.0,0.0,0.4804,0.0,0.0003
6,Class 1,unknown,0,Hue,1.05,0.6377,0.0,0.0,0.3589,0.0,0.0,0.0034
6,Class 1,unknown,0,OD,2.85,0.0,0.5196,0.0,0.4803,0.0,0.0,0.0001
6,Class 1,unknown,0,Proline,1450.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Class 1,unknown,0,Alc,14.39,0.7831,0.0,0.0,0.0,0.2134,0.0,0.0035
7,Class 1,unknown,0,Mal,1.87,0.925,0.0,0.0,0.0704,0.0,0.0,0.0046
7,Class 1,unknown,0,Ash,2.45,0.0,0.0,0.4381,0.0,0.3426,0.0,0.2193
7,Class 1,unknown,0,AlkAsh,14.6,0.7878,0.0,0.0,0.2022,0.0,0.0,0.01
7,Class 1,unknown,0,Mg,96.0,0.0,0.0,0.4167,0.0,0.0,0.304,0.2793
7,Class 1,unknown,0,TotPhen,2.5,0.7386,0.0,0.0,0.0,0.1988,0.0,0.0626
7,Class 1,unknown,0,Flav,2.52,0.6113,0.0,0.0,0.3836,0.0,0.0,0.0051
7,Class 1,unknown,0,Nonflav,0.3,0.5455,0.0,0.0,0.2969,0.0,0.0,0.1576
7,Class 1,unknown,0,ProAn,1.98,0.6333,0.0,0.0,0.242,0.0,0.0,0.1247
7,Class 1,unknown,0,Color,5.25,0.7429,0.0,0.0,0.0,0.2054,0.0,0.0517
7,Class 1,unknown,0,Hue,1.02,0.6214,0.0,0.0,0.3707,0.0,0.0,0.0079
7,Class 1,unknown,0,OD,3.58,0.7062,0.0,0.0,0.2938,0.0,0.0,0.0
7,Class 1,unknown,0,Proline,1290.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Class 1,unknown,2,Alc,14.06,0.7926,0.0,0.0,0.0,0.2043,0.0,0.0031
8,Class 1,unknown,2,Mal,2.15,0.8894,0.0,0.0,0.1052,0.0,0.0,0.0054
8,Class 1,unknown,2,Ash,2.61,0.4091,0.0,0.0,0.0,0.3896,0.0,0.2013
8,Class 1,unknown,2,AlkAsh,17.6,0.5174,0.0,0.0,0.3257,0.0,0.0,0.1569
8,Class 1,unknown,2,Mg,121.0,0.598,0.0,0.0,0.2781,0.0,0.0,0.1239
8,Class 1,unknown,2,TotPhen,2.6,0.806,0.0,0.0,0.0,0.1315,0.0,0.0625
8,Class 1,unknown,2,Flav,2.51,0.5995,0.0,0.0,0.4001,0.0,0.0,0.0004
8,Class 1,unknown,2,Nonflav,0.31,0.5618,0.0,0.0,0.2911,0.0,0.0,0.1471
8,Class 1,unknown,2,ProAn,1.25,0.0,0.0,0.5344,0.0,0.0,0.3251,0.1405
8,Class 1,unknown,2,Color,5.05,0.6513,0.0,0.0,0.0,0.2459,0.0,0.1028
8,Class 1,unknown,2,Hue,1.06,0.6666,0.0,0.0,0.3313,0.0,0.0,0.0021
8,Class 1,unknown,2,OD,3.58,0.7447,0.0,0.0,0.2553,0.0,0.0,0.0
8,Class 1,unknown,2,Proline,1295.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Class 1,unknown,3,Alc,14.83,0.8907,0.0,0.0,0.0,0.1093,0.0,0.0
9,Class 1,unknown,3,Mal,1.64,0.8854,0.0,0.0,0.1081,0.0,0.0,0.0065
9,Class 1,unknown,3,Ash,2.17,0.0,0.4573,0.0,0.2934,0.0,0.0,0.2493
9,Class 1,unknown,3,AlkAsh,14.0,0.7959,0.0,0.0,0.1934,0.0,0.0,0.0107
9,Class 1,unknown,3,Mg,97.0,0.0,0.0,0.4332,0.0,0.2943,0.0,0.2725
9,Class 1,unknown,3,TotPhen,2.8,0.7145,0.0,0.0,0.274,0.0,0.0,0.0115
9,Class 1,unknown,3,Flav,2.98,0.7992,0.0,0.0,0.2008,0.0,0.0,0.0
9,Class 1,unknown,3,Nonflav,0.29,0.5915,0.0,0.0,0.2758,0.0,0.0,0.1327
9,Class 1,unknown,3,ProAn,1.98,0.5735,0.0,0.0,0.3321,0.0,0.0,0.0944
9,Class 1,unknown,3,Color,5.2,0.6726,0.0,0.0,0.0,0.2542,0.0,0.0732
9,Class 1,unknown,3,Hue,1.08,0.5817,0.0,0.0,0.4162,0.0,0.0,0.0021
9,Class 1,unknown,3,OD,2.85,0.0,0.5233,0.0,0.4767,0.0,0.0,0.0
9,Class 1,unknown,3,Proline,1045.0,0.9872,0.0,0.0,0.0124,0.0,0.0,0.0004
10,Class 1,unknown,1,Alc,13.86,0.728,0.0,0.0,0.0,0.2662,0.0,0.0058
10,Class 1,unknown,1,Mal,1.35,0.0,0.7818,0.0,0.1773,0.0,0.0,0.0409
10,Class 1,unknown,1,Ash,2.27,0.0,0.0,0.3708,0.0,0.323,0.0,0.3062
10,Class 1,unknown,1,AlkAsh,16.0,0.6964,0.0,0.0,0.2635,0.0,0.0,0.0401
10,Class 1,unknown,1,Mg,98.0,0.0,0.0,0.4029,0.0,0.3372,0.0,0.2599
10,Class 1,unknown,1,TotPhen,2.98,0.7944,0.0,0.0,0.2053,0.0,0.0,0.0003
10,Class 1,unknown,1,Flav,3.15,0.8334,0.0,0.0,0.1666,0.0,0.0,0.0
10,Class 1,unknown,1,Nonflav,0.22,0.5931,0.0,0.0,0.27,0.0,0.0,0.1369
10,Class 1,unknown,1,ProAn,1.85,0.6575,0.0,0.0,0.2843,0.0,0.0,0.0582
10,Class 1,unknown,1,Color,7.22,0.0,0.0,0.5841,0.0,0.4157,0.0,0.0002
10,Class 1,unknown,1,Hue,1.01,0.6078,0.0,0.0,0.3802,0.0,0.0,0.012
10,Class 1,unknown,1,OD,3.55,0.7171,0.0,0.0,0.2829,0.0,0.0,0.0
10,Class 1,unknown,1,Proline,1045.0,0.9929,0.0,0.0,0.0047,0.0,0.0,0.0024
11,Class 1,unknown,2,Alc,14.1,0.8027,0.0,0.0,0.0,0.1947,0.0,0.0026
11,Class 1,unknown,2,Mal,2.16,0.8877,0.0,0.0,0.1068,0.0,0.0,0.0055
11,Class 1,unknown,2,Ash,2.3,0.0,0.0,0.4001,0.0,0.3124,0.0,0.2875
11,Class 1,unknown,2,AlkAsh,18.0,0.468,0.0,0.0,0.3361,0.0,0.0,0.1959
11,Class 1,unknown,2,Mg,105.0,0.4318,0.0,0.0,0.0,0.3557,0.0,0.2125
11,Class 1,unknown,2,TotPhen,2.95,0.8417,0.0,0.0,0.0,0.0945,0.0,0.0638
11,Class 1,unknown,2,Flav,3.32,0.8534,0.0,0.0,0.1466,0.0,0.0,0.0
11,Class 1,unknown,2,Nonflav,0.22,0.6309,0.0,0.0,0.3074,0.0,0.0,0.0617
11,Class 1,unknown,2,ProAn,2.38,0.5995,0.0,0.0,0.3731,0.0,0.0,0.0274
11,Class 1,unknown,2,Color,5.75,0.6751,0.0,0.0,0.0,0.3095,0.0,0.0154
11,Class 1,unknown,2,Hue,1.25,0.0,0.6322,0.0,0.3678,0.0,0.0,0.0
11,Class 1,unknown,2,OD,3.17,0.678,0.0,0.0,0.322,0.0,0.0,0.0
11,Class 1,unknown,2,Proline,1510.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Class 1,unknown,4,Alc,14.12,0.831,0.0,0.0,0.0,0.1647,0.0,0.0043
12,Class 1,unknown,4,Mal,1.48,0.7111,0.0,0.0,0.2742,0.0,0.0,0.0147
12,Class 1,unknown,4,Ash,2.32,0.0,0.0,0.3875,0.0,0.3193,0.0,0.2932
12,Class 1,unknown,4,AlkAsh,16.8,0.6045,0.0,0.0,0.2962,0.0,0.0,0.0993
12,Class 1,unknown,4,Mg,95.0,0.0,0.0,0.4017,0.0,0.0,0.3223,0.276
12,Class 1,unknown,4,TotPhen,2.2,0.0,0.0,0.8108,0.0,0.1,0.0,0.0892
12,Class 1,unknown,4,Flav,2.43,0.0,0.6131,0.0,0.3869,0.0,0.0,0.0
12,Class 1,unknown,4,Nonflav,0.26,0.5876,0.0,0.0,0.2693,0.0,0.0,0.1431
12,Class 1,unknown,4,ProAn,1.57,0.4844,0.0,0.0,0.2579,0.0,0.0,0.2577
12,Class 1,unknown,4,Color,5.0,0.6701,0.0,0.0,0.0,0.2248,0.0,0.1051
12,Class 1,unknown,4,Hue,1.17,0.5814,0.0,0.0,0.4185,0.0,0.0,0.0001
12,Class 1,unknown,4,OD,2.82,0.0,0.52,0.0,0.4799,0.0,0.0,0.0001
12,Class 1,unknown,4,Proline,1280.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Class 1,unknown,3,Alc,13.75,0.6907,0.0,0.0,0.0,0.3014,0.0,0.0079
13,Class 1,unknown,3,Mal,1.73,0.9024,0.0,0.0,0.092,0.0,0.0,0.0056
13,Class 1,unknown,3,Ash,2.41,0.0,0.0,0.4146,0.0,0.372,0.0,0.2134
13,Class 1,unknown,3,AlkAsh,16.0,0.7195,0.0,0.0,0.2287,0.0,0.0,0.0518
13,Class 1,unknown,3,Mg,89.0,0.0,0.0,0.4469,0.0,0.0,0.3946,0.1585
13,Class 1,unknown,3,TotPhen,2.6,0.5634,0.0,0.0,0.3899,0.0,0.0,0.0467
13,Class 1,unknown,3,Flav,2.76,0.7072,0.0,0.0,0.2928,0.0,0.0,0.0
13,Class 1,unknown,3,Nonflav,0.29,0.5915,0.0,0.0,0.2758,0.0,0.0,0.1327
13,Class 1,unknown,3,ProAn,1.81,0.5007,0.0,0.0,0.3442,0.0,0.0,0.1551
13,Class 1,unknown,3,Color,5.6,0.6906,0.0,0.0,0.0,0.2845,0.0,0.0249
13,Class 1,unknown,3,Hue,1.15,0.5419,0.0,0.0,0.4578,0.0,0.0,0.0003
13,Class 1,unknown,3,OD,2.9,0.5106,0.0,0.0,0.4894,0.0,0.0,0.0
13,Class 1,unknown,3,Proline,1320.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Class 1,unknown,2,Alc,14.75,0.8912,0.0,0.0,0.0,0.1086,0.0,0.0002
14,Class 1,unknown,2,Mal,1.73,0.9278,0.0,0.0,0.0688,0.0,0.0,0.0034
14,Class 1,unknown,2,Ash,2.39,0.0,0.0,0.4356,0.0,0.3291,0.0,0.2353
14,Class 1,unknown,2,AlkAsh,11.4,0.8515,0.0,0.0,0.148,0.0,0.0,0.0005
14,Class 1,unknown,2,Mg,91.0,0.0,0.0,0.4666,0.0,0.0,0.3462,0.1872
14,Class 1,unknown,2,TotPhen,3.1,0.812,0.0,0.0,0.0,0.1061,0.0,0.0819
14,Class 1,unknown,2,Flav,3.69,0.7797,0.0,0.0,0.2203,0.0,0.0,0.0
14,Class 1,unknown,2,Nonflav,0.43,0.0,0.0,0.5031,0.0,0.0,0.3881,0.1088
14,Class 1,unknown,2,ProAn,2.81,0.0,0.6156,0.0,0.3699,0.0,0.0,0.0145
14,Class 1,unknown,2,Color,5.4,0.6811,0.0,0.0,0.0,0.2766,0.0,0.0423
14,Class 1,unknown,2,Hue,1.25,0.0,0.6322,0.0,0.3678,0.0,0.0,0.0
14,Class 1,unknown,2,OD,2.73,0.0,0.6016,0.0,0.3973,0.0,0.0,0.0011
14,Class 1,unknown,2,Proline,1150.0,0.9997,0.0,0.0,0.0,0.0002,0.0,0.0001
15,Class 1,unknown,0,Alc,14.38,0.7823,0.0,0.0,0.0,0.2142,0.0,0.0035
15,Class 1,unknown,0,Mal,1.87,0.925,0.0,0.0,0.0704,0.0,0.0,0.0046
15,Class 1,unknown,0,Ash,2.38,0.0,0.0,0.4247,0.0,0.3299,0.0,0.2454
15,Class 1,unknown,0,AlkAsh,12.0,0.8359,0.0,0.0,0.1635,0.0,0.0,0.0006
15,Class 1,unknown,0,Mg,102.0,0.0,0.0,0.3832,0.0,0.366,0.0,0.2508
15,Class 1,unknown,0,TotPhen,3.3,0.6877,0.0,0.0,0.0,0.1816,0.0,0.1307
15,Class 1,unknown,0,Flav,3.64,0.6593,0.0,0.0,0.3394,0.0,0.0,0.0013
15,Class 1,unknown,0,Nonflav,0.29,0.5626,0.0,0.0,0.2919,0.0,0.0,0.1455
15,Class 1,unknown,0,ProAn,2.96,0.0,0.646,0.0,0.2446,0.0,0.0,0.1094
15,Class 1,unknown,0,Color,7.5,0.0,0.0,0.7291,0.0,0.2709,0.0,0.0
15,Class 1,unknown,0,Hue,1.2,0.5568,0.0,0.0,0.4432,0.0,0.0,0.0
15,Class 1,unknown,0,OD,3.0,0.5606,0.0,0.0,0.4394,0.0,0.0,0.0
15,Class 1,unknown,0,Proline,1547.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Class 1,unknown,2,Alc,13.63,0.6254,0.0,0.0,0.0,0.354,0.0,0.0206
16,Class 1,unknown,2,Mal,1.81,0.9279,0.0,0.0,0.0686,0.0,0.0,0.0035
16,Class 1,unknown,2,Ash,2.7,0.4607,0.0,0.0,0.0,0.3243,0.0,0.215
16,Class 1,unknown,2,AlkAsh,17.2,0.5641,0.0,0.0,0.3131,0.0,0.0,0.1228
16,Class 1,unknown,2,Mg,112.0,0.5395,0.0,0.0,0.0,0.2466,0.0,0.2139
16,Class 1,unknown,2,TotPhen,2.85,0.8488,0.0,0.0,0.0,0.0936,0.0,0.0576
16,Class 1,unknown,2,Flav,2.91,0.8286,0.0,0.0,0.1714,0.0,0.0,0.0
16,Class 1,unknown,2,Nonflav,0.3,0.5853,0.0,0.0,0.284,0.0,0.0,0.1307
16,Class 1,unknown,2,ProAn,1.46,0.4067,0.0,0.0,0.3033,0.0,0.0,0.29
16,Class 1,unknown,2,Color,7.3,0.0,0.0,0.585,0.0,0.415,0.0,0.0
16,Class 1,unknown,2,Hue,1.28,0.0,0.7258,0.0,0.2742,0.0,0.0,0.0
16,Class 1,unknown,2,OD,2.88,0.5186,0.0,0.0,0.4813,0.0,0.0,0.0001
16,Class 1,unknown,2,Proline,1310.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Class 1,unknown,0,Alc,14.3,0.7739,0.0,0.0,0.0,0.2218,0.0,0.0043
17,Class 1,unknown,0,Mal,1.92,0.9202,0.0,0.0,0.0749,0.0,0.0,0.0049
17,Class 1,unknown,0,Ash,2.72,0.4439,0.0,0.0,0.0,0.334,0.0,0.2221
17,Class 1,unknown,0,AlkAsh,20.0,0.0,0.0,0.4069,0.0,0.0,0.3536,0.2395
17,Class 1,unknown,0,Mg,120.0,0.573,0.0,0.0,0.2282,0.0,0.0,0.1988
17,Class 1,unknown,0,TotPhen,2.8,0.8416,0.0,0.0,0.0,0.1099,0.0,0.0485
17,Class 1,unknown,0,Flav,3.14,0.8111,0.0,0.0,0.1878,0.0,0.0,0.0011
17,Class 1,unknown,0,Nonflav,0.33,0.476,0.0,0.0,0.3193,0.0,0.0,0.2047
17,Class 1,unknown,0,ProAn,1.97,0.6347,0.0,0.0,0.2399,0.0,0.0,0.1254
17,Class 1,unknown,0,Color,6.2,0.6586,0.0,0.0,0.0,0.3389,0.0,0.0025
17,Class 1,unknown,0,Hue,1.07,0.6422,0.0,0.0,0.3559,0.0,0.0,0.0019
17,Class 1,unknown,0,OD,2.65,0.0,0.6465,0.0,0.3515,0.0,0.0,0.002
17,Class 1,unknown,0,Proline,1280.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Class 1,unknown,3,Alc,13.83,0.7263,0.0,0.0,0.0,0.2686,0.0,0.0051
18,Class 1,unknown,3,Mal,1.57,0.8502,0.0,0.0,0.1413,0.0,0.0,0.0085
18,Class 1,unknown,3,Ash,2.62,0.0,0.0,0.4165,0.0,0.398,0.0,0.1855
18,Class 1,unknown,3,AlkAsh,20.0,0.0,0.0,0.4382,0.0,0.0,0.3636,0.1982
18,Class 1,unknown,3,Mg,115.0,0.5405,0.0,0.0,0.0,0.2302,0.0,0.2293
18,Class 1,unknown,3,TotPhen,2.95,0.7811,0.0,0.0,0.2151,0.0,0.0,0.0038
18,Class 1,unknown,3,Flav,3.4,0.8598,0.0,0.0,0.1402,0.0,0.0,0.0
18,Class 1,unknown,3,Nonflav,0.4,0.0,0.423,0.0,0.0,0.0,0.3928,0.1842
18,Class 1,unknown,3,ProAn,1.72,0.4522,0.0,0.0,0.3505,0.0,0.0,0.1973
18,Class 1,unknown,3,Color,6.6,0.5898,0.0,0.0,0.0,0.4093,0.0,0.0009
18,Class 1,unknown,3,Hue,1.13,0.5579,0.0,0.0,0.4416,0.0,0.0,0.0005
18,Class 1,unknown,3,OD,2.57,0.0,0.7373,0.0,0.2583,0.0,0.0,0.0044
18,Class 1,unknown,3,Proline,1130.0,0.9979,0.0,0.0,0.0021,0.0,0.0,0.0
19,Class 1,unknown,4,Alc,14.19,0.8495,0.0,0.0,0.0,0.1472,0.0,0.0033
19,Class 1,unknown,4,Mal,1.59,0.8389,0.0,0.0,0.1529,0.0,0.0,0.0082
19,Class 1,unknown,4,Ash,2.48,0.0,0.0,0.4334,0.0,0.3644,0.0,0.2022
19,Class 1,unknown,4,AlkAsh,16.5,0.6308,0.0,0.0,0.2873,0.0,0.0,0.0819
19,Class 1,unknown,4,Mg,108.0,0.4465,0.0,0.0,0.0,0.351,0.0,0.2025
19,Class 1,unknown,4,TotPhen,3.3,0.7814,0.0,0.0,0.0,0.175,0.0,0.0436
19,Class 1,unknown,4,Flav,3.93,0.8851,0.0,0.0,0.1149,0.0,0.0,0.0
19,Class 1,unknown,4,Nonflav,0.32,0.5015,0.0,0.0,0.3017,0.0,0.0,0.1968
19,Class 1,unknown,4,ProAn,1.86,0.6347,0.0,0.0,0.239,0.0,0.0,0.1263
19,Class 1,unknown,4,Color,8.7,0.0,0.0,0.93,0.0,0.07,0.0,0.0
19,Class 1,unknown,4,Hue,1.23,0.0,0.5153,0.0,0.4847,0.0,0.0,0.0
19,Class 1,unknown,4,OD,2.82,0.0,0.52,0.0,0.4799,0.0,0.0,0.0001
19,Class 1,unknown,4,Proline,1680.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Class 1,unknown,4,Alc,13.64,0.6223,0.0,0.0,0.0,0.3488,0.0,0.0289
20,Class 1,unknown,4,Mal,3.1,0.6622,0.0,0.0,0.3197,0.0,0.0,0.0181
20,Class 1,unknown,4,Ash,2.56,0.0,0.0,0.4247,0.0,0.3927,0.0,0.1826
20,Class 1,unknown,4,AlkAsh,15.2,0.7181,0.0,0.0,0.2497,0.0,0.0,0.0322
20,Class 1,unknown,4,Mg,116.0,0.515,0.0,0.0,0.0,0.2896,0.0,0.1954
20,Class 1,unknown,4,TotPhen,2.7,0.8783,0.0,0.0,0.0,0.1035,0.0,0.0182
20,Class 1,unknown,4,Flav,3.03,0.8379,0.0,0.0,0.1621,0.0,0.0,0.0
20,Class 1,unknown,4,Nonflav,0.17,0.5158,0.0,0.0,0.3412,0.0,0.0,0.143
20,Class 1,unknown,4,ProAn,1.66,0.55,0.0,0.0,0.2467,0.0,0.0,0.2033
20,Class 1,unknown,4,Color,5.1,0.6871,0.0,0.0,0.0,0.2316,0.0,0.0813
20,Class 1,unknown,4,Hue,0.96,0.5504,0.0,0.0,0.4032,0.0,0.0,0.0464
20,Class 1,unknown,4,OD,3.36,0.6992,0.0,0.0,0.3008,0.0,0.0,0.0
20,Class 1,unknown,4,Proline,845.0,0.0,0.0,0.419,0.0,0.3975,0.0,0.1835
21,Class 1,unknown,4,Alc,14.06,0.813,0.0,0.0,0.0,0.1815,0.0,0.0055
21,Class 1,unknown,4,Mal,1.63,0.8582,0.0,0.0,0.1346,0.0,0.0,0.0072
21,Class 1,unknown,4,Ash,2.28,0.0,0.0,0.362,0.0,0.0,0.3304,0.3076
21,Class 1,unknown,4,AlkAsh,16.0,0.6693,0.0,0.0,0.2724,0.0,0.0,0.0583
21,Class 1,unknown,4,Mg,126.0,0.539,0.0,0.0,0.252,0.0,0.0,0.209
